Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,61147,59828,67239,70462,67555,65253,64425,63372
09:11,59320,56419,57674,67231,58408,61859,73598,65867
09:22,63371,64425,71263,60950,59826,63372,61798,61147
09:33,31853,66737,66339,74585,72160,68279,71211,74584
09:44,61798,65302,26789,65253,64424,74057,73685,61859
09:55,,,67239,3703,65867,74586,67231,67555
10:06,31854,60950,31855,18686,13867,70462,64424,63371
10:17,4893,66339,51930,68279,54665,65302,13864,40146
10:28,66737,53313,74584,73598,53457,55396,55394,49129
10:39,,,54665,71211,58709,72160,51930,71263
10:50,,,54584,74057,40146,13867,74585,73685
11:01,58575,4893,58408,56419,74586,58709,31855,59320
11:12,55394,26789,55396,13864,49129,3703,53313,59828
11:23,53457,18686,59826,58575,31854,54584,31853,57674

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,4893,53457,68279,49129,31853,71211,65867
14:07,58408,70462,74584,56419,74586,72160,64424,73685
14:15,64425,65302,71263,67231,31854,74585,13864,63372
14:22,4893,57674,55396,13867,54584,61859,66339,40146
14:30,70462,26789,73598,18686,58575,74057,61798,67555
14:37,61147,60950,67239,59320,54665,3703,51930,59828
14:45,59826,18686,53457,71211,40146,58709,67231,65253
14:52,63371,56419,63372,60950,3703,65302,55394,53313
15:00,31854,66737,65253,74057,49129,74585,64425,65867
15:07,61798,66339,26789,73598,31855,55396,59826,74584
15:15,31853,64425,51930,13864,54584,13867,72160,71263
15:22,58408,66737,67239,68279,31854,55396,58575,61859
15:30,63371,58709,73685,65253,74585,74586,53313,59320
15:37,40146,59828,57674,58575,31855,74057,67555,
15:45,4893,51930,54665,60950,64424,65302,71211,61147
15:52,55394,57674,26789,13864,58709,63372,31855,70462
16:00,59320,18686,59826,56419,67555,68279,73598,61859
16:07,53457,64424,54665,58408,72160,54584,61798,74584
16:15,73685,66339,67239,31853,65867,55394,74586,63371
16:22,61147,53313,71263,3703,13867,59828,67231,49129

